"","long","lat"
"1",-120.5626391266,35.6790272751
"2",-115.1959724814,30.9706939606
"3",-115.2543058145,33.5290272837
"4",-118.6876391341,35.8456939411
"5",-114.962639149,31.9956939565
"6",-115.1626391482,31.7206939576
"7",-115.045972482,30.4873606292
"8",-116.2626391438,33.0290272857
"9",-118.4543058017,34.8790272783
"10",-119.795972463,34.5456939463
"11",-118.2459724692,35.5790272755
"12",-114.1626391522,28.7123606363
"13",-117.3376391395,33.204027285
"14",-115.5126391468,33.1956939517
"15",-116.1793058108,34.7206939456
"16",-114.212639152,33.370693951
"17",-115.462639147,30.5873606288
"18",-116.8459724748,34.6373606126
"19",-114.8126391496,31.7123606243
"20",-116.4376391431,33.9623606153
"21",-118.1626391362,34.2290272809
"22",-120.4043057939,35.1123606107
"23",-118.379305802,35.3206939432
"24",-114.2209724853,33.3206939512
"25",-119.0709724659,34.5873606128
"26",-115.9709724783,30.8373606278
"27",-119.6376391303,35.3040272766
"28",-115.9709724783,34.037360615
"29",-116.6543058089,32.0706939562
"30",-113.87930582,29.3456939671
"31",-115.2876391477,30.2290272969
"32",-115.6876391461,34.0706939482
"33",-114.5376391507,29.0706939682
"34",-115.1626391482,29.8790272983
"35",-115.8876391453,31.2373606262
"36",-117.6043058051,33.4373606174
"37",-115.6543058129,30.537360629
"38",-117.0626391406,34.5623606129
"39",-114.4793058176,32.7123606203
"40",-118.8793058,35.3790272763
"41",-115.5043058135,32.2706939554
"42",-115.4793058136,34.0623606149
"43",-115.962639145,34.3040272806
"44",-118.3626391354,34.7456939455
"45",-116.9709724743,33.8290272825
"46",-119.6459724636,33.9873606152
"47",-115.8626391454,34.287360614
"48",-113.6959724874,28.9706939686
"49",-116.4376391431,32.8790272863
"50",-119.129305799,35.6290272753
"51",-119.9959724622,35.7956939413
"52",-116.9376391411,32.5040272878
"53",-115.712639146,32.9790272859
"54",-115.6709724795,30.1290272973
"55",-114.629305817,33.7790272827
"56",-113.8293058202,29.037360635
"57",-118.962639133,34.5790272795
"58",-116.6876391421,32.5290272877
"59",-114.1709724855,29.4206939668
"60",-114.879305816,31.3790272923
"61",-115.6959724794,31.2456939595
"62",-116.3376391435,34.5956939461
"63",-118.3293058022,33.9123606155
"64",-119.8876391293,34.7123606123
"65",-117.6793058048,35.0873606108
"66",-117.7709724711,35.5540272756
"67",-117.9459724704,34.6456939459
"68",-117.7709724711,34.8623606117
"69",-114.3959724846,29.4623606333
"70",-115.7293058126,34.4290272801
"71",-117.7459724712,34.3790272803
"72",-116.3126391436,33.4290272841
"73",-115.8376391455,31.7206939576
"74",-117.7543058045,34.8290272785
"75",-115.4459724804,34.8040272786
"76",-118.7376391339,35.787360608
"77",-114.1543058189,29.5706939662
"78",-116.4459724764,34.5290272797
"79",-116.6376391423,32.120693956
"80",-116.8959724746,34.7540272788
"81",-119.3876391313,35.704027275
"82",-115.2209724813,32.6123606207
"83",-119.5209724641,34.4373606134
"84",-116.0293058114,30.7540272948
"85",-116.0209724781,30.4956939625
"86",-116.2293058106,32.8456939531
"87",-116.3043058103,34.5956939461
"88",-117.795972471,33.787360616
"89",-115.3209724809,30.9873606272
"90",-119.2876391317,35.8290272745
"91",-115.2043058147,31.3373606258
"92",-115.1126391484,33.6456939499
"93",-117.4459724724,35.5873606088
"94",-118.6626391342,34.9290272781
"95",-114.9876391489,33.0623606189
"96",-116.0376391447,34.0040272818
"97",-114.3459724848,31.7373606242
"98",-115.1043058151,29.954027298
"99",-119.7793057964,35.8623606077
"100",-114.71263915,30.4456939627
"101",-115.0793058152,30.8373606278
"102",-115.5709724799,34.787360612
"103",-114.9709724823,32.1123606227
"104",-114.2709724851,32.1540272892
"105",-117.045972474,32.5623606209
"106",-115.9793058116,34.3623606137
"107",-117.4293058058,34.2206939476
"108",-117.5209724721,34.037360615
"109",-120.4959724602,35.0540272776
"110",-114.962639149,29.7956939653
"111",-116.1376391443,31.204027293
"112",-116.2293058106,31.870693957
"113",-114.4209724845,33.0956939521
"114",-115.3959724806,32.8456939531
"115",-119.9293057958,35.3623606097
"116",-115.6043058131,30.9790272939
"117",-115.795972479,30.2373606302
"118",-117.3543058061,34.1373606146
"119",-114.2876391517,29.0290273017
"120",-114.6043058171,33.6456939499
"121",-116.6209724757,32.8456939531
"122",-115.8459724788,31.7206939576
"123",-116.4126391432,32.0456939563
"124",-114.7293058166,32.9456939527
"125",-119.3043057983,34.4456939467
"126",-115.3459724808,29.5790272995
"127",-114.8293058162,33.9040272822
"128",-115.7793058124,32.370693955
"129",-117.379305806,34.0290272817
"130",-115.5209724801,30.3290272965
"131",-119.629305797,35.6956939417
"132",-119.8376391295,34.5206939464
"133",-120.1709724615,34.7290272789
"134",-114.5543058173,32.8873606196
"135",-114.3293058182,32.1373606226
"136",-117.4543058057,33.287360618
"137",-119.545972464,34.8290272785
"138",-120.045972462,34.6540272792
"139",-116.6876391421,34.6040272794
"140",-116.0543058113,31.5206939584
"141",-118.3209724689,34.8373606118
"142",-114.3709724847,32.037360623
"143",-114.2709724851,31.8040272906
"144",-115.5959724798,30.7706939614
"145",-116.37930581,33.6790272831
"146",-119.2209724653,34.3290272805
"147",-114.8459724828,29.4123606335
"148",-119.0626391326,35.3373606098
"149",-115.9793058116,32.5206939544
"150",-114.2376391519,31.7123606243
"151",-119.4543057977,34.5706939462
"152",-117.9209724705,34.0040272818
"153",-114.8293058162,30.0956939641
"154",-118.6959724674,34.6290272793
"155",-115.4959724802,32.9790272859
"156",-119.6793057968,35.7373606082
"157",-118.9126391332,34.3456939471
"158",-116.2293058106,34.6290272793
"159",-115.379305814,29.5540272996
"160",-114.8876391493,30.204027297
"161",-113.5376391547,29.4123606335
"162",-115.2209724813,32.2456939555
"163",-115.0043058155,31.8290272905
"164",-115.3959724806,31.1540272932
"165",-117.3709724727,33.704027283
"166",-114.0376391527,28.8873606356
"167",-117.8043058043,34.1123606147
"168",-118.6709724675,35.1540272772
"169",-116.7543058085,32.4873606212
"170",-116.5376391427,35.3206939432
"171",-118.1126391364,35.3956939429
"172",-116.2376391439,34.3456939471
"173",-117.3543058061,35.1290272773
"174",-116.2293058106,32.7456939535
"175",-116.5709724759,31.5540272916
"176",-115.4043058139,31.8456939571
"177",-117.8293058042,35.8373606078
"178",-114.795972483,32.3790272883
"179",-114.3959724846,33.3123606179
"180",-117.1376391403,33.0873606188
"181",-114.6459724836,29.3790273003
"182",-115.9793058116,33.9206939488
"183",-113.962639153,29.2456939675
"184",-116.545972476,35.3623606097
"185",-120.4209724605,35.2290272769
"186",-115.212639148,31.7456939575
"187",-115.795972479,34.8540272784
"188",-118.379305802,33.9790272819
"189",-115.9376391451,33.5623606169
"190",-117.7376391379,35.3540272764
"191",-116.1626391442,32.2623606221
"192",-117.295972473,35.7790272747
"193",-115.0626391486,32.1373606226
"194",-116.4709724763,33.6123606167
"195",-114.3376391515,32.8956939529
"196",-115.629305813,32.2790272887
"197",-117.7043058047,35.3206939432
"198",-117.5209724721,34.6373606126
"199",-116.5793058092,32.3206939552
"200",-117.8293058042,34.5873606128
"201",-116.4209724765,31.5123606251
"202",-118.3376391355,35.6290272753
"203",-114.71263915,32.037360623
"204",-116.629305809,34.2540272808
"205",-117.712639138,35.9456939407
"206",-116.4459724764,33.454027284
"207",-117.7459724712,35.870693941
"208",-115.5709724799,33.5290272837
"209",-114.8293058162,32.8290272865
"210",-113.9709724863,28.9456939687
"211",-116.2293058106,32.370693955
"212",-115.1376391483,30.8873606276
"213",-116.212639144,33.7706939494
"214",-114.8293058162,32.3123606219
"215",-120.9209724585,35.620693942
"216",-114.5043058175,33.4456939507
"217",-113.4709724883,29.4290273001
"218",-114.9293058158,34.0790272815
"219",-119.6543057969,34.5706939462
"220",-120.3293057942,35.7373606082
"221",-121.0209724581,35.6040272754
"222",-114.795972483,30.2790272967
"223",-113.7626391538,28.8040273026
"224",-117.1626391402,32.9123606195
"225",-120.7626391258,35.5706939422
"226",-117.2876391397,35.8123606079
"227",-117.0293058074,33.4206939508
"228",-116.0959724778,34.0706939482
"229",-117.0626391406,33.1290272853
"230",-119.5793057972,35.2540272768
"231",-117.1626391402,35.3956939429
"232",-118.129305803,35.7790272747
"233",-117.2376391399,34.8956939449
"234",-115.129305815,33.4623606173
"235",-120.3293057942,34.9123606115
"236",-118.1459724696,35.4623606093
"237",-115.6793058128,34.3456939471
"238",-115.9709724783,32.3123606219
"239",-116.7209724753,32.2290272889
"240",-117.9209724705,33.8956939489
"241",-115.8459724788,30.9623606273
"242",-116.7209724753,35.2373606102
"243",-118.2543058025,34.8456939451
"244",-114.71263915,30.6123606287
"245",-119.629305797,35.8040272746
"246",-119.212639132,36.0706939402
"247",-118.7793058004,35.8956939409
"248",-115.54597248,33.0956939521
"249",-115.0543058153,34.0706939482
"250",-119.9126391292,35.2706939434
