occID,scientific_name,longitude,latitude
1,Stagmomantis sp,-116.9536139,32.82704167
2,Stagmomantis sp,-117.0747917,32.823525
3,Stagmomantis sp,-117.0764388,32.82283833
4,Stagmomantis sp,-117.0767138,32.822875
5,Stagmomantis sp,-117.2796083,33.17333833
6,Stagmomantis sp,-117.193232,32.77426017
7,Stagmomantis sp,-117.249988,32.754899
8,Stagmomantis sp,-117.1061056,32.73594444
9,Stagmomantis sp,-117.1060722,32.73589444
10,Stagmomantis sp,-117.0988634,32.91799349
11,Stagmomantis sp,-117.1218972,32.94183889
12,Stagmomantis sp,-117.1775676,32.7972643
13,Stagmomantis sp,-117.106075,32.73589167
14,Stagmomantis sp,-116.5802758,33.07564395
15,Stagmomantis sp,-117.249468,33.01376187
16,Stagmomantis sp,-117.01511,32.80972667
17,Stagmomantis sp,-117.0755472,32.83373667
18,Stagmomantis sp,-117.0337305,32.84223833
19,Stagmomantis sp,-117.01511,32.80972667
20,Stagmomantis sp,-117.0337362,32.84225833
21,Stagmomantis sp,-117.0445137,32.8391215
22,Stagmomantis sp,-117.0442341,32.8391879
23,Stagmomantis sp,-117.2398481,32.6697596
24,Stagmomantis sp,-117.2161717,32.76328667
25,Stagmomantis sp,-117.0406888,32.83990833
26,Stagmomantis sp,-116.8240361,32.91045833
27,Stagmomantis sp,-117.1087945,32.65841667
28,Stagmomantis sp,-117.1907667,32.92842833
29,Stagmomantis sp,-117.0777195,32.82243667
30,Stagmomantis sp,-117.0490028,32.772095
31,Stagmomantis sp,-116.956558,32.805891
32,Stagmomantis sp,-117.1065621,32.65698611
33,Stagmomantis sp,-117.0849388,32.77726667
34,Stagmomantis sp,-117.0519555,32.82863833
35,Stagmomantis sp,-117.1776636,32.79741134
36,Stagmomantis sp,-117.1099874,32.64079335
37,Stagmomantis sp,-117.0368945,32.84681667
38,Stagmomantis sp,-117.2185883,32.78022
39,Stagmomantis sp,-117.0672888,32.77751575
40,Stagmomantis sp,-117.0334835,32.8421746
41,Stagmomantis sp,-117.1220638,32.54558667
42,Stagmomantis sp,-117.0518333,32.82998333
43,Stagmomantis sp,-117.045875,32.83633333
44,Stagmomantis sp,-117.0455112,32.82921217
45,Stagmomantis sp,-116.998755,32.76082167
46,Stagmomantis sp,-117.0757305,32.83476667
47,Stagmomantis sp,-117.0391917,32.83721167
48,Stagmomantis sp,-117.014714,32.80961384
49,Stagmomantis sp,-117.0519862,32.82857167
50,Stagmomantis sp,-117.0448,32.83853667
51,Stagmomantis sp,-117.0147438,32.80952477
52,Stagmomantis sp,-117.0149147,32.80976529
53,Stagmomantis sp,-116.9729313,32.7788251
54,Stagmomantis sp,-117.2422867,32.6773
55,Stagmomantis sp,-117.033415,32.83903833
56,Stagmomantis sp,-117.2456432,33.3550865
57,Stagmomantis sp,-117.0354849,32.83985539
58,Stagmomantis sp,-117.0591304,32.8057729
59,Stagmomantis sp,-116.8562698,32.82815716
60,Stagmomantis sp,-117.0571445,32.81984667
61,Stagmomantis sp,-116.956325,32.80607597
62,Stagmomantis sp,-116.9729367,32.77899167
63,Stagmomantis sp,-117.21882,32.92278667
64,Stagmomantis sp,-117.2523361,33.00921944
65,Stagmomantis sp,-117.0149391,32.80966608
66,Stagmomantis sp,-117.0526583,33.00508888
67,Stagmomantis sp,-117.053172,32.757826
68,Stagmomantis sp,-116.9987033,32.76075833
69,Stagmomantis sp,-117.1232388,32.567805
70,Stagmomantis sp,-117.1427167,32.72465
71,Stagmomantis sp,-117.123785,32.534753
72,Stagmomantis sp,-117.2435101,32.66859962
73,Stagmomantis sp,-117.2449299,32.67423686
74,Stagmomantis sp,-117.2432425,32.66778659
75,Stagmomantis sp,-117.244699,32.673853
76,Stagmomantis sp,-117.1255102,32.57374104
77,Stagmomantis sp,-117.2438583,32.671425
78,Stagmomantis sp,-117.0368112,32.84031667
79,Stagmomantis sp,-117.0460278,32.77741167
80,Stagmomantis sp,-116.9964898,32.84967167
81,Stagmomantis sp,-116.9129205,32.77049139
82,Stagmomantis sp,-117.1170294,32.59104354
83,Stagmomantis sp,-117.2417115,32.67283379
84,Stagmomantis sp,-116.5650722,32.62056613
85,Stagmomantis sp,-117.1168038,33.14199705
86,Stagmomantis sp,-117.1378388,33.08226667
87,Stagmomantis sp,-117.1255333,32.573495
88,Stagmomantis sp,-116.84935,32.77389
89,Stagmomantis sp,-117.2398588,32.67393518
90,Stagmomantis sp,-117.1191139,33.14296574
91,Stagmomantis sp,-116.65834,31.89544
92,Stagmomantis sp,-116.6079503,31.89844326
93,Stagmomantis sp,-116.6098417,31.89749667
94,Stagmomantis sp,-116.5770361,31.83159531
95,Stagmomantis sp,-115.7354583,30.05662783
96,Stagmomantis sp,-119.1568606,34.12361383
97,Stagmomantis sp,-118.3308867,33.35096667
98,Stagmomantis sp,-116.6149497,33.83667078
99,Stagmomantis sp,-117.8581655,34.41423999
100,Stagmomantis sp,-117.6402761,33.70117293
101,Stagmomantis sp,-117.5634184,33.55680385
102,Stagmomantis sp,-117.5988778,33.57763497
103,Stagmomantis sp,-117.0605,32.7374
104,Stagmomantis sp,-117.0605,32.7374
105,Stagmomantis sp,-117.23985,32.66976
106,Stagmomantis sp,-117.04423,32.839188
107,Stagmomantis sp,-117.04423,32.839188
